,artist_popularity,followers,genres,id,name,track_id,track_name_prev,type
55040,48,27399,"['classic schlager', 'schlager', 'volksmusik']",4RVBHXd0cu2qrEyv8jVjQZ,Marianne Rosenberg,3xJyFs7xaGiPd2NiAaBImk,track_16,artist
55041,73,414945,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop edm', 'tropical house']",4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,0Qew3aYvQPGPjfL7gbe6x1,track_25,artist
55042,42,11630,"['classic danish pop', 'dansktop']",6vxJe361JSKmxXcI8uJpyM,Johnny Madsen,1bzfa2A2C3YkQNcW9JiD3I,track_16,artist
55043,31,1948,['schlager'],2sTRfU4EfiSz6b0tFwVAkH,Annemarie Eilfeld,7vq6S80MvSaxHSCEQ75z09,track_26,artist
55044,44,14678,"['classic danish pop', 'danish pop', 'danish pop rock', 'dansktop']",4XXfhoWXcfQol6IXKIXclH,Lis Sørensen,5EYYLCW6tVAHqoPZzKwggd,track_18,artist
55045,37,1675,"['christian afrobeat', 'nigerian pop']",2ZvhA3s4Jwbcce62lzGEGX,Funbi,6hKuREbr7ulhqSVIlUIAQf,track_1,artist
55046,48,3682,['swedish pop'],6wbnrM9ATvOxJEH3Yh7vWx,Charlie Who?,5GMVWJlxfNYOb9GkWTU5eO,track_34,artist
55047,42,13931,"['classic danish pop', 'danish pop rock']",63Fx3pGfBPY8iKByqXEbIg,Hanne Boel,1J2n4bAqt4KIvM9rYSByfE,track_20,artist
55048,30,120,[],1iDCg2YPc1sRji7srCt6jr,Adey,1JsIs3HYGX4SdFsVpCEs4n,track_3,artist
55049,75,2212,['swedish pop'],7Io0XduXk7aOHFHA7sLru2,Bonn,1ahVFh0ViDZr8LvkEVlq3B,track_55,artist
55050,10,3,[],6dcmq8XZlkmpCpOqVNuuqd,Jørgen Holmegaard,3mUuDD0E1xEiF2JcGMH6oy,track_30,artist
55051,16,1,[],72x6siN7Y2VVrbaqm94fFg,PsychoYP,3ZHiwzecBgXptHtq0m572T,track_11,artist
55052,72,11325,[],6eVWXmKBW7Iltub01D9R1c,Valerie Broussard,3Kuu5vASpXK8oRsxOvau6P,track_64,artist
55053,10,2,[],6QMhiFqrYosmnfsurNpEEd,Søren Koch,3mUuDD0E1xEiF2JcGMH6oy,track_31,artist
55054,58,53437,"['alternative r&b', 'underground hip hop']",4T8NIfZmVY6TJFqVzN6X49,Tobi Lou,6OyDjQiFgIX4JnnfQ9zYf8,track_19,artist
55055,45,610,[],7H0dyws9JvjtecZazKLNpM,Kevin Faye,0yKLdhfS9v14rmh0RCLUap,track_73,artist
55056,52,151464,"['classic bollywood', 'desi', 'desi hip hop', 'filmi', 'ghazal', 'indian folk', 'modern bollywood', 'sufi']",0GF4shudTAFv8ak9eWdd4Y,Kishore Kumar,05Wws4HqfGzbqRLH0smbpD,track_6,artist
55057,30,121,['nigerian pop'],7M7t0X1mjNwSOAf3HiPEQ0,Higo,0NMA9gbjRA0AzhDrB1lbj6,track_26,artist
55058,59,610,['swedish pop'],2Osj5g9VkHReOlZgfoEQao,estrad,2yNfaW5s5EXJDcKZWOjuzq,track_75,artist
55059,39,11447,"['classic bollywood', 'desi', 'filmi', 'indian pop', 'modern bollywood', 'sufi']",4tgxFlmtGx08MtTKWeqEuR,Amitabh Bachchan,4OvDkKNj49Zecu365xMAQN,track_9,artist
55060,43,7341,['swedish pop'],4gXoprttD6M0HwTqQNsxOY,Ji Nilsson,5nFh31xBJ4bbWBsnyoDpV4,track_10,artist
55061,63,34697,['swedish pop'],0XDfNJsQy7B3q0GfsMHSkp,Tjuvjakt,2yNfaW5s5EXJDcKZWOjuzq,track_76,artist
55062,15,69,"['classic bollywood', 'filmi']",025NPyHBtWC9aQM4STXI5V,Amirbai Karnataki,5xuR8nxoyWGIa4qxr0EiOC,track_10,artist
55063,46,12617,"['norwegian indie', 'norwegian pop']",13BXjgYUjBzIvo5KgVoDPb,Endre Nordvik,7f88xAMmsAnn5SFchXzmQY,track_11,artist
55064,60,16359,"['norwegian pop', 'tropical house']",4Q6zYbQ2MrKiEWTGB3yrPv,Jesper Jenset,6VvRwqQpgWU1WclXgCOKI8,track_77,artist
55065,37,48271,"['chutney', 'classic bollywood', 'desi', 'filmi', 'ghazal', 'indian folk', 'modern bollywood', 'pakistani pop', 'sufi']",2JSYASbWU5Y0fVpts3Eq7g,R. D. Burman,7FHDGu4eb2ZXOMZUVAQSCa,track_13,artist
55066,41,1003,['swedish pop'],2X2m34XTofjWhhW0Wnya5k,Klara & Jag,7gciyTA3aGQhQcH5sRmauI,track_25,artist
55067,41,13784,"['deep new americana', 'folk-pop', 'new americana']",1EI0B66miJj5Fl408B7E9H,Courtney Marie Andrews,32QP97prqm0wjkHEqfbz19,track_4,artist
55068,0,0,[],2AAm5XYeMlucDFPZ2rEhkU,Amrita Singh,7FHDGu4eb2ZXOMZUVAQSCa,track_17,artist
55069,51,30645,"['finnish dance pop', 'finnish punk', 'suomi rock']",2BFdLtG6ivaiRqPFTgV1in,Klamydia,2aeYWVOL3kCqDHp6vq2Mne,track_1,artist
55070,29,2388,"['nashville indie', 'steel guitar']",4vsRWAlRRT40g7LjHiUMco,Steelism,2hPPJefLGV53Mwlir5mRcG,track_6,artist
55071,0,17,[],2qaiKeZvNco6512iiGFIyh,Sharmila Tagore,7FHDGu4eb2ZXOMZUVAQSCa,track_18,artist
55072,59,329283,['gothic metal'],74aLweE8FHHf4yN5TWv1GM,HIM,4503U9TuPbVDz6TlKS0Z1a,track_7,artist
55073,47,56266,"['alternative country', 'new americana']",09yvLritEUxHrzx5TlFvbl,Margo Price,0Pr7l3Zvr9F4upwYZFpkS7,track_8,artist
55074,66,446516,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",7BMccF0hQFBpP6417k1OtQ,Action Bronson,6p586xRu0OuyR1ftsTvFoz,track_8,artist
55075,42,6887,"['finnish dance pop', 'finnish pop', 'iskelma', 'suomi rock']",002oyMRzxTzEsBRLzACi8d,Stella,2nWAYmsTPSpza7X5tY6ZrH,track_16,artist
55076,70,789468,"['country', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country', 'traditional country']",5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,0Pr7l3Zvr9F4upwYZFpkS7,track_9,artist
55077,66,394947,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",6FD0unjzGQhX3b6eMccMJe,Ghostface Killah,4WimB4Ei0LU3MotHhL3kBL,track_11,artist
55078,0,3,[],5zKaHXuyzdsJmTrm1fOqmg,David Enders,0TeNJ5cpK6Ydpy0i7pn03r,track_14,artist
