,mean_syllables_word,mean_words_sentence,n_sentences,n_words,sentence_similarity,track_id,vocabulary_wealth
80210,1.19,2.88,58,336,0.019358741681790685,2LJN8OntCcpn3IIfP5VyZF,0.6
80211,1.43,3.72,60,318,0.024858757062146894,6Rr2kDjAtdAE1rsGRAiVyS,0.69
80212,2.0,1.67,3,7,0.0,34mvkVskpYxe7CfkEs3XCY,0.6
80213,1.12,3.16,43,284,0.15282392026578073,05uk6WHLOT4GJEeFfMqWDS,0.61
80214,1.28,3.37,49,304,0.10714285714285714,09bRmFRViBORKQ2miwp04P,0.42
80215,1.18,4.21,43,338,0.03875968992248062,4gf9Ka2doSbbVM2xygDhle,0.58
80216,1.84,5.85,13,137,0.01282051282051282,57ifvUopbuDoMNpgSD6PzV,0.67
80217,1.8,2.28,40,131,0.03974358974358974,6UXPWkzcK3GDrfxxDfKnVv,0.58
80218,1.12,3.16,43,284,0.15282392026578073,0vSmzv78CdvhVthkFJWG57,0.61
80219,1.27,4.05,40,286,0.1064102564102564,2lFFiNm0XtgJ6wkdncTB4k,0.49
80220,2.1,4.24,51,360,0.006274509803921568,1RIhd7jjWDQwSKsbxxGArN,0.72
80221,1.86,2.71,28,132,0.010582010582010581,5dkURjvtypDtBrGGRetOlQ,0.72
80222,1.72,3.35,31,190,0.07956989247311828,7luHVaCQGP7Df8jxiApPzY,0.48
80223,1.87,4.08,39,261,0.021592442645074223,624ra5mDiibqvFYDK4yhmo,0.68
80224,1.32,2.96,25,102,0.05,5zUJlRQyzxw09Jv1hDgL5h,0.7
80225,2.13,4.82,125,1028,0.02193548387096774,1lFZ38dy1TfIZCANRXOfta,0.65
80226,1.37,2.6,42,220,0.11614401858304298,3OZeNQnM7WOgsKv7F8gU1q,0.42
80227,1.18,3.41,29,173,0.03940886699507389,3GRBuRQOHhFcQRgxppluL4,0.6
80228,1.12,3.16,43,284,0.15282392026578073,4ECXa4Ly8dM461Dywmdf3q,0.61
80229,1.35,3.25,55,351,0.07542087542087542,4XSRqScl0RWxFjOQID8QCW,0.58
80230,1.22,3.69,64,453,0.017857142857142856,1Qd8bzWdwpSCEpieI1lUjV,0.58
80231,1.66,3.52,75,420,0.07567567567567568,3aYAAXlB1yvUs5MJ0FI3bh,0.46
80232,1.19,3.44,52,314,0.06636500754147813,6eKhWSDPM9cDicwsBCvUwB,0.5
80233,1.2,2.96,52,285,0.03619909502262444,50cSs6d03KV85oKytBmin9,0.54
80234,1.44,5.5,36,326,0.009523809523809525,3hzZoBTNhvC1KdCr4P3UjJ,0.7
80235,1.32,3.45,49,312,0.02295918367346939,0BCaxnlUk186iWHY5PuCjX,0.58
