track_id,release_year,decade,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,artist_popularity,followers,mean_syllables_word,mean_words_sentence,n_sentences,n_words,sentence_similarity,vocabulary_wealth
4DYs87Ykz0A1khI80nYF9F,2017.0,2010s,0.766,0.64,0.333,0.00156,0.0772,0.0336,119.924,0.298,31.0,3920.0,1.2,2.5,24.0,113.0,0.0326086956521739,0.71
2N041KkpaQQ35KzIbwmIkJ,2019.0,2010s,0.145,0.536,0.635,0.0,0.298,0.16,88.062,0.641,60.0,4525.0,1.74,6.0,28.0,342.0,0.1137566137566137,0.58
5SVzFoP3aaTXEW4NkhvWbc,2002.0,2000s,0.0569,0.738,0.726,3.13e-06,0.329,0.0763,94.023,0.642,16.0,166.0,1.26,3.17,60.0,367.0,0.03954802259887,0.57
2HAr21dGIzjk5kXXQzvNoX,2019.0,2010s,0.236,0.572,0.681,1.17e-05,0.3,0.0783,161.948,0.274,37.0,15581.0,1.26,3.62,21.0,109.0,0.0285714285714285,0.7
2jEeajNK4i658NEy0O4706,2018.0,2010s,0.427,0.196,0.425,0.00184,0.0974,0.0409,176.426,0.178,49.0,10933.0,1.12,4.0,31.0,194.0,0.0774193548387096,0.46
39g1JMgfT4qY4QtK6cPKSr,2018.0,2010s,0.179,0.701,0.676,0.0,0.0959,0.222,104.924,0.322,50.0,329.0,1.55,4.64,91.0,576.0,0.0224664224664224,0.64
4QQIHPuuU8BEXeM4izrf75,2016.0,2010s,0.297,0.566,0.728,0.0,0.349,0.328,125.366,0.668,30.0,1436.0,1.78,4.3,43.0,291.0,0.0033222591362126,0.76
3vD2hF7MP553JeNcckoDSf,2018.0,2010s,0.283,0.716,0.566,0.0,0.146,0.297,121.048,0.359,33.0,93.0,1.83,3.93,43.0,283.0,0.1218161683277962,0.51
4ovZXmd6mlLsTwPgIei1JX,2018.0,2010s,0.173,0.714,0.693,0.0,0.0678,0.0868,105.98,0.55,53.0,7130.0,1.52,3.97,72.0,489.0,0.0152582159624413,0.6
07MAy0FSooS8reX3GgzOm2,2018.0,2010s,0.114,0.629,0.635,7.35e-05,0.165,0.137,179.981,0.188,20.0,668.0,1.49,4.22,59.0,393.0,0.0888369374634716,0.38
5SltwNda99aeE9fb95eBhK,2017.0,2010s,0.25,0.654,0.617,0.0,0.14,0.326,136.093,0.378,37.0,3490.0,1.46,3.15,142.0,696.0,0.0545400059934072,0.63
7tRQlhcFzHyGmhKeruPE4S,2001.0,2000s,0.0185,0.607,0.785,0.0,0.0737,0.12,178.046,0.892,15.0,205.0,1.56,4.68,63.0,487.0,0.003584229390681,0.72
5uy1SEASb2BgGeOIoLfhPK,2019.0,2010s,0.00459,0.791,0.659,0.00013,0.0626,0.0332,111.998,0.332,25.0,220.0,1.26,3.18,39.0,204.0,0.0283400809716599,0.63
4DxU9yKktJVQXhcLxjh67j,2003.0,2000s,0.224,0.491,0.769,0.0,0.0971,0.0275,98.039,0.349,53.0,102847.0,2.19,2.76,41.0,172.0,0.0719512195121951,0.57
6KH2UXO3DsSYiVZd4odhj4,2018.0,2010s,0.0242,0.718,0.897,0.59,0.161,0.0346,90.974,0.876,36.0,2126.0,1.21,3.67,90.0,610.0,0.0436953807740324,0.48
4YXhOackOMOlQTMAwsDHo6,1988.0,1980s,0.188,0.531,0.322,2.89e-06,0.109,0.0305,121.053,0.197,56.0,379221.0,1.06,3.11,45.0,229.0,0.0343434343434343,0.64
1yxgNmLIo8vmEzbS44SHl2,2018.0,2010s,0.0137,0.791,0.423,0.518,0.0802,0.162,183.983,0.883,35.0,136.0,1.21,3.67,90.0,610.0,0.0436953807740324,0.48
13RsBWKDLWSbJ8l90mRILw,2016.0,2010s,0.317,0.542,0.688,0.00548,0.568,0.465,172.16,0.742,54.0,41221.0,1.08,3.77,52.0,338.0,0.0867269984917043,0.35
